Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PUT,,,,23-01-2024 21:26:38,23-01-2024 21:26:51,12.454s,FAILED
,,,,,,,
Test Cases/PUT Update Booking,,,,23-01-2024 21:26:45,23-01-2024 21:26:51,5.494s,FAILED
firstName = sample.Common.generateRandomString(),,,,23-01-2024 21:26:45,23-01-2024 21:26:45,0.019s,PASSED
lastName = sample.Common.generateRandomString(),,,,23-01-2024 21:26:45,23-01-2024 21:26:45,0.002s,PASSED
"println(""First Name: "" + firstName)",,,,23-01-2024 21:26:45,23-01-2024 21:26:45,0.001s,PASSED
"println(""Last Name: "" + lastName)",,,,23-01-2024 21:26:45,23-01-2024 21:26:45,0.001s,PASSED
"response = sendRequest(findTestObject(""Object Repository/POST Create booking"", [""firstName"":firstName, ""lastName"":lastName]))",,Send request create booking,,23-01-2024 21:26:45,23-01-2024 21:26:49,3.451s,PASSED
"verifyResponseStatusCode(response, 200)",,The status should be 200,,23-01-2024 21:26:49,23-01-2024 21:26:49,0.003s,PASSED
"verifyElementPropertyValue(response, ""booking.firstname"", $firstName)",,Verify response,,23-01-2024 21:26:49,23-01-2024 21:26:49,0.023s,PASSED
"verifyElementPropertyValue(response, ""booking.lastname"", $lastName)",,,,23-01-2024 21:26:49,23-01-2024 21:26:49,0.011s,PASSED
"id = getElementPropertyValue(response, ""bookingid"")",,,,23-01-2024 21:26:49,23-01-2024 21:26:49,0.013s,PASSED
"println(""ID: "" + id)",,,,23-01-2024 21:26:49,23-01-2024 21:26:49,0.001s,PASSED
firstNameUpdate = $firstNameUpdate,,,,23-01-2024 21:26:49,23-01-2024 21:26:49,0.001s,PASSED
lastNameUpdate = $lastNameUpdate,,,,23-01-2024 21:26:49,23-01-2024 21:26:49,0.000s,PASSED
"responseObject = sendRequest(findTestObject(""Object Repository/PUT Update Booking"", [""id"":id, ""firstNameUpdate"":firstNameUpdate, ""firstNameUpdate"":lastNameUpdate]))",,,,23-01-2024 21:26:49,23-01-2024 21:26:51,1.826s,PASSED
"verifyResponseStatusCode(responseObject, 200)",,Verify status code,,23-01-2024 21:26:51,23-01-2024 21:26:51,0.003s,PASSED
responseBody = response.getResponseBodyContent(),,Verify respone,,23-01-2024 21:26:51,23-01-2024 21:26:51,0.001s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,23-01-2024 21:26:51,23-01-2024 21:26:51,0.001s,PASSED
firstNameRes = firstname,,,,23-01-2024 21:26:51,23-01-2024 21:26:51,0.001s,PASSED
lastNameRes = lastname,,,,23-01-2024 21:26:51,23-01-2024 21:26:51,0.001s,PASSED
"println(""RESPONE: "" + jsonResponse)",,,,23-01-2024 21:26:51,23-01-2024 21:26:51,0.001s,PASSED
"verifyEqual(lastNameRes, $lastNameUpdate)",,,,23-01-2024 21:26:51,23-01-2024 21:26:51,0.012s,FAILED
